time,seconds_elapsed,z,y,x
1667508272884942800,0.01994287109375,-0.027253976091742516,0.007357588037848473,-0.02363530360162258
1667508272894990000,0.029989990234375,-0.022158244624733925,-0.004722820594906807,-0.02272426150739193
1667508272905036800,0.040036865234375,-0.013930410146713257,-0.0037164122331887484,-0.024335741996765137
1667508272915083800,0.050083740234375,-0.014430535025894642,-0.022536950185894966,-0.017309755086898804
1667508272925130800,0.060130859375,-0.02479369379580021,-0.04241718351840973,-0.0125075438991189
1667508272935177700,0.070177734375,-0.022587453946471214,-0.06333640217781067,-0.011144855059683323
1667508272945224700,0.080224609375,-0.01683742366731167,-0.08056226372718811,-0.01088652852922678
1667508272955272000,0.09027197265625,-0.02151707001030445,-0.10244689136743546,-0.013860564678907394
1667508272965319000,0.10031884765625,-0.027570167556405067,-0.13183434307575226,-0.010488735511898994
1667508272975366000,0.110365966796875,-0.03231704607605934,-0.1421089768409729,-0.01041328627616167
1667508272985412900,0.120412841796875,-0.0351429283618927,-0.13601699471473694,-0.018847517669200897
1667508272995459800,0.1304599609375,-0.029315494000911713,-0.12427820265293121,-0.028688229620456696
1667508273005506800,0.1405068359375,-0.025546321645379066,-0.12073539942502975,-0.029114868491888046
1667508273015554000,0.150553955078125,-0.019062589854002,-0.12577489018440247,-0.022199971601366997
1667508273025601000,0.16060107421875,-0.015211658552289009,-0.11236774921417236,-0.02149423398077488
1667508273035647700,0.170647705078125,0.0005170723889023066,-0.10552069544792175,-0.026688218116760254
1667508273045695700,0.18069580078125,0.004756292328238487,-0.10318004339933395,-0.03783674165606499
1667508273055742700,0.19074267578125,-0.0010965208057314157,-0.1107412651181221,-0.03897414728999138
1667508273065790000,0.2007900390625,-0.011749165132641792,-0.12212041765451431,-0.04303093999624252
1667508273075837000,0.2108369140625,-0.018251430243253708,-0.1265876591205597,-0.054498493671417236
1667508273085884000,0.2208837890625,-0.030747514218091965,-0.1319134533405304,-0.06289277970790863
1667508273095931000,0.230930908203125,-0.04207022860646248,-0.11991725862026215,-0.07369592785835266
1667508273105977900,0.240977783203125,-0.040479786694049835,-0.10763662308454514,-0.08225612342357635
1667508273116025000,0.251025146484375,-0.03614594787359238,-0.09540507197380066,-0.0920635387301445
1667508273126071800,0.26107177734375,-0.0391654409468174,-0.08697962760925293,-0.09405344724655151
1667508273136118800,0.271118896484375,-0.04380940645933151,-0.09019191563129425,-0.08067113906145096
1667508273146165800,0.281165771484375,-0.052612487226724625,-0.10038968920707703,-0.07202811539173126
1667508273156212700,0.291212646484375,-0.0526578314602375,-0.09684235602617264,-0.0713312104344368
1667508273166259700,0.301259765625,-0.05660969763994217,-0.08186180889606476,-0.06876152753829956
1667508273176307000,0.311306884765625,-0.06249039247632027,-0.06687205284833908,-0.0731242448091507
1667508273186354000,0.32135400390625,-0.07005350291728973,-0.057705990970134735,-0.07544466108083725
1667508273196401000,0.33140087890625,-0.05802562087774277,-0.048072781413793564,-0.08376982063055038
1667508273206447900,0.34144775390625,-0.049774084240198135,-0.03083440475165844,-0.08572298288345337
1667508273216494800,0.351494873046875,-0.03678065538406372,-0.01812058500945568,-0.08331579715013504
1667508273226541800,0.361541748046875,-0.02847345732152462,-0.003970944322645664,-0.081898994743824
1667508273236589000,0.371589111328125,0.0006443681195378304,0.011308232322335243,-0.08605282753705978
1667508273246636000,0.381635986328125,0.02696332335472107,0.02981933392584324,-0.09077887237071991
1667508273256682800,0.391682861328125,0.03900221735239029,0.03221932798624039,-0.08963519334793091
1667508273266729700,0.401729736328125,0.06005930155515671,-0.04344054311513901,-0.08520662039518356
1667508273276776700,0.411776611328125,0.07042238861322403,-0.12099552154541016,-0.08689349889755249
1667508273286823700,0.42182373046875,0.04221391677856445,-0.12242963165044785,-0.10160080343484879
1667508273296871000,0.431870849609375,0.027382373809814453,-0.22981692850589752,-0.09548836946487427
1667508273306918000,0.44191796875,0.020700769498944283,-0.2637717127799988,-0.08174938708543777
1667508273316965400,0.45196533203125,0.02604888752102852,-0.3228144347667694,-0.09063056111335754
1667508273327012400,0.462012451171875,0.02989795245230198,-0.31597596406936646,-0.09486524760723114
1667508273337059600,0.4720595703125,0.051062993705272675,-0.2386232614517212,-0.10733746737241745
1667508273347106600,0.4821064453125,0.051337830722332,-0.2704097032546997,-0.10844561457633972
1667508273357153500,0.492153564453125,0.058063313364982605,-0.35975566506385803,-0.09180644899606705
1667508273367200300,0.5022001953125,0.1317681521177292,-0.43307968974113464,-0.04611939191818237
1667508273377247200,0.512247314453125,0.11655505001544952,-0.4634799361228943,-0.051766667515039444
1667508273387294200,0.522294189453125,0.07051538676023483,-0.4627222716808319,-0.09721110761165619
1667508273397341400,0.532341552734375,0.07395954430103302,-0.45327991247177124,-0.1259525865316391
1667508273407388400,0.542388427734375,0.11497994512319565,-0.4390026926994324,-0.1545373499393463
1667508273417435400,0.552435302734375,0.15331880748271942,-0.45643121004104614,-0.18834573030471802
1667508273427482400,0.562482421875,0.16555389761924744,-0.5294130444526672,-0.20754127204418182
1667508273437529300,0.572529296875,0.1726192682981491,-0.5535181164741516,-0.17877504229545593
1667508273447576300,0.582576416015625,0.1222144216299057,-0.5545399785041809,-0.15395119786262512
1667508273457623600,0.59262353515625,0.08572306483983994,-0.5947239398956299,-0.14625205099582672
1667508273467670500,0.60267041015625,0.09301160275936127,-0.6834484934806824,-0.11006581038236618
1667508273477717500,0.612717529296875,0.13214409351348877,-0.7937342524528503,-0.08555594086647034
1667508273487764500,0.622764404296875,0.17031197249889374,-0.8580778241157532,-0.09754975140094757
1667508273497811200,0.632811279296875,0.17875009775161743,-0.8479861617088318,-0.07778872549533844
1667508273507858400,0.6428583984375,0.17956049740314484,-0.8550528287887573,-0.029256077483296394
1667508273517905400,0.652905517578125,0.19595274329185486,-0.9213995933532715,-0.031003912910819054
1667508273527952400,0.662952392578125,0.2041693925857544,-0.9540771245956421,-0.0648881122469902
1667508273537999400,0.672999267578125,0.20719611644744873,-0.9410356879234314,-0.08759291470050812
1667508273548046300,0.68304638671875,0.20559662580490112,-0.9575933814048767,-0.0917852595448494
1667508273558094600,0.693094482421875,0.20493413507938385,-1.0066978931427002,-0.10027416050434113
1667508273568141600,0.7031416015625,0.18273748457431793,-1.0739060640335083,-0.1021018922328949
1667508273578188500,0.7131884765625,0.1681164652109146,-1.1737791299819946,-0.1078718975186348
1667508273588235300,0.7232353515625,0.1581922024488449,-1.2575962543487549,-0.1014866977930069
1667508273598282200,0.7332822265625,0.17012488842010498,-1.296642541885376,-0.08019454032182693
1667508273608329200,0.7433291015625,0.18746446073055267,-1.3449357748031616,-0.05372964218258858
1667508273618376400,0.75337646484375,0.19234801828861237,-1.4136680364608765,-0.029575884342193604
1667508273628423400,0.76342333984375,0.1983390748500824,-1.540955662727356,-0.011438422836363316
1667508273638470400,0.773470458984375,0.2000245898962021,-1.7331246137619019,-0.010295660234987736
1667508273648517400,0.783517333984375,0.1882627308368683,-1.9469399452209473,0.0009308946318924427
1667508273658564400,0.793564453125,0.1576848179101944,-2.1141695976257324,0.04047726094722748
1667508273668611300,0.803611328125,0.11240468174219131,-2.1747798919677734,0.07733461260795593
1667508273678658600,0.813658447265625,0.07624149322509766,-2.1426358222961426,0.10204017907381058
1667508273688705500,0.82370556640625,0.07611419260501862,-2.04300594329834,0.11970093101263046
1667508273698752500,0.83375244140625,0.10412343591451645,-1.9732739925384521,0.16190658509731293
1667508273708799500,0.843799560546875,0.14565730094909668,-2.002501964569092,0.230697363615036
1667508273718846200,0.85384619140625,0.1749579906463623,-2.1312313079833984,0.319516122341156
1667508273728893400,0.8638935546875,0.11795541644096375,-2.3409600257873535,0.42620688676834106
1667508273738940400,0.8739404296875,0.03578522056341171,-2.607330083847046,0.517090380191803
1667508273748987400,0.8839873046875,0.0030349986627697945,-2.867281913757324,0.6384423971176147
1667508273759034400,0.894034423828125,0.005196204409003258,-3.0432729721069336,0.8232817053794861
1667508273769081300,0.904081298828125,0.04024260491132736,-3.2132577896118164,1.0884156227111816
1667508273779128300,0.91412841796875,0.13378578424453735,-3.3496768474578857,1.3805322647094727
1667508273789175600,0.924175537109375,0.2060333490371704,-3.5573129653930664,1.6652774810791016
1667508273799222500,0.934222412109375,0.20146216452121735,-3.7594292163848877,1.9705958366394043
1667508273809269500,0.94426953125,0.11629560589790344,-3.932133674621582,2.2796316146850586
1667508273819316500,0.95431640625,0.011556126177310944,-4.016331672668457,2.5426743030548096
1667508273829363500,0.964363525390625,-0.03652964532375336,-3.760465621948242,2.586007595062256
1667508273839410400,0.974410400390625,-0.09191460907459259,-3.424670696258545,2.5183608531951904
1667508273849457400,0.98445751953125,-0.15376998484134674,-3.062129497528076,2.478559970855713
1667508273859504400,0.99450439453125,-0.37510088086128235,-2.5558483600616455,2.286353826522827
1667508273869551400,1.00455126953125,-0.6388765573501587,-2.1115362644195557,1.9024642705917358
1667508273879598300,1.014598388671875,-0.7436794638633728,-1.773850440979004,1.3661218881607056
1667508273889645300,1.024645263671875,-0.8032056093215942,-1.6685702800750732,1.0020947456359863
1667508273899692300,1.0346923828125,-0.7870690226554871,-1.5631831884384155,0.8595603108406067
1667508273909739500,1.044739501953125,-0.739776611328125,-1.4012656211853027,0.7320428490638733
1667508273919787500,1.05478759765625,-0.7423457503318787,-1.3127752542495728,0.6672146320343018
1667508273929834200,1.064834228515625,-0.7347556948661804,-1.281165361404419,0.6536958813667297
1667508273939881200,1.074881103515625,-0.7778030633926392,-1.2396501302719116,0.6522243022918701
1667508273949928200,1.08492822265625,-0.8709700107574463,-1.2529563903808594,0.567882239818573
1667508273959975400,1.094975341796875,-0.9321673512458801,-1.2986719608306885,0.42419734597206116
1667508273970022400,1.1050224609375,-0.9289020299911499,-1.3505152463912964,0.2508718967437744
1667508273980069400,1.1150693359375,-0.929017186164856,-1.4024808406829834,0.08492718636989594
1667508273990116400,1.125116455078125,-1.0005533695220947,-1.4187252521514893,0.01744960993528366
1667508274000163300,1.135163330078125,-1.1571192741394043,-1.5321866273880005,0.08250448852777481
1667508274010210600,1.14521044921875,-1.3448904752731323,-1.6105623245239258,0.16290292143821716
1667508274020257500,1.155257568359375,-1.5131003856658936,-1.5493155717849731,0.21179039776325226
1667508274030304500,1.165304443359375,-1.5954521894454956,-1.33159339427948,0.2672557830810547
1667508274040351500,1.1753515625,-1.6092395782470703,-1.0221185684204102,0.3069581091403961
1667508274050398500,1.1853984375,-1.6406539678573608,-0.8061516284942627,0.30880606174468994
1667508274060445200,1.195445068359375,-1.738166332244873,-0.7282305359840393,0.21931543946266174
1667508274070492400,1.205492431640625,-1.8828260898590088,-0.7994373440742493,0.03244037553668022
1667508274080539400,1.215539306640625,-1.9850565195083618,-1.1638660430908203,-0.18342098593711853
1667508274090586400,1.22558642578125,-2.1049344539642334,-1.6593776941299438,-0.38730114698410034
1667508274100633300,1.23563330078125,-2.2922356128692627,-2.0124423503875732,-0.5294348001480103
1667508274110680300,1.245680419921875,-2.47566294670105,-2.170072555541992,-0.6186245679855347
1667508274120727300,1.255727294921875,-2.625455617904663,-2.098374843597412,-0.6636716723442078
1667508274130774500,1.2657744140625,-2.7889511585235596,-1.845630168914795,-0.6967512965202332
1667508274140821500,1.275821533203125,-2.97245192527771,-1.6077507734298706,-0.7822554707527161
1667508274150868500,1.285868408203125,-3.1942057609558105,-1.5876586437225342,-0.8832084536552429
1667508274160915500,1.29591552734375,-3.430401086807251,-1.7768874168395996,-1.0114855766296387
1667508274170962400,1.30596240234375,-3.6534578800201416,-2.1074159145355225,-1.1538301706314087
1667508274181009400,1.316009521484375,-3.9071853160858154,-2.2384660243988037,-1.160051703453064
1667508274191056400,1.326056396484375,-4.247225284576416,-2.2162046432495117,-1.1288906335830688
1667508274201103400,1.336103271484375,-4.461928844451904,-2.0836546421051025,-1.2321202754974365
1667508274211151400,1.3461513671875,-4.510423183441162,-1.9099255800247192,-1.4190539121627808
1667508274221198300,1.3561982421875,-4.5963134765625,-1.8347872495651245,-1.6207436323165894
1667508274231245600,1.36624560546875,-4.811368942260742,-1.9711484909057617,-1.769690752029419
1667508274241292500,1.37629248046875,-5.024661540985107,-2.2177789211273193,-1.8938381671905518
1667508274251339500,1.386339599609375,-5.1016764640808105,-2.4345037937164307,-2.0036652088165283
1667508274261386500,1.396386474609375,-5.1271514892578125,-2.4951703548431396,-2.1165571212768555
